cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
Q2009,"Injection, fosphenytoin, 50 mg phenytoin equivalent",Fosphenytoin inj pe,O1E, Other drugs
Q2017,"Injection, teniposide, 50 mg","Teniposide, 50 mg",O1D, Chemotherapy
Q2026,"Injection, radiesse, 0.1 ml",Radiesse injection,O1E, Other drugs
Q2028,"Injection, sculptra, 0.5 mg","Inj, sculptra, 0.5mg",O1E, Other drugs
Q2034,"Influenza virus vaccine, split virus, for intramuscular use (agriflu)",Agriflu vaccine,O1G, Immunizations/Vaccinations
Q2035,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)","Afluria vacc, 3 yrs & >, im",O1G, Immunizations/Vaccinations
Q2036,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval)","Flulaval vacc, 3 yrs & >, im",O1G, Immunizations/Vaccinations
Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)","Fluvirin vacc, 3 yrs & >, im",O1G, Immunizations/Vaccinations
Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)","Fluzone vacc, 3 yrs & >, im",O1G, Immunizations/Vaccinations
Q2039,"Influenza virus vaccine, not otherwise specified","Influenza virus vaccine, nos",O1G, Immunizations/Vaccinations
Q2040,"Tisagenlecleucel, up to 250 million car-positive viable t cells, including leukapheresis and dose preparation procedures, per infusion",Tisagenlecleucel car-pos t,O1E, Other drugs
Q2041,"Axicabtagene ciloleucel, up to 200 million autologous anti-cd19 car positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Axicabtagene ciloleucel car+,O1E, Other drugs
Q2042,"Tisagenlecleucel, up to 600 million car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Tisagenlecleucel car-pos t,O1E, Other drugs
Q2043,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion",Sipuleucel-t auto cd54+,P1G, Major procedure_Other
Q2049,"Injection, doxorubicin hydrochloride, liposomal, imported lipodox, 10 mg",Imported lipodox inj,O1D, Chemotherapy
Q2050,"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10 mg",Doxorubicin inj 10mg,O1D, Chemotherapy
Q2052,"Services, supplies and accessories used in the home under the medicare intravenous immune globulin (ivig) demonstration","Ivig demo, services/supplies",O1E, Other drugs
Q3001,"Radioelements for brachytherapy, any type, each",Brachytherapy radioelements,P7A, Oncology_radiation therapy
Q3014,Telehealth originating site facility fee,Telehealth facility fee,Y2, Other_non-Medicare fee schedule
Q3027,"Injection, interferon beta-1a, 1 mcg for intramuscular use",Inj beta interferon im 1 mcg,O1E, Other drugs
Q3028,"Injection, interferon beta-1a, 1 mcg for subcutaneous use",Inj beta interferon sq 1 mcg,O1E, Other drugs
Q3031,Collagen skin test,Collagen skin test,D1A, Medical/surgical supplies
Q4001,"Casting supplies, body cast adult, with or without head, plaster",Cast sup body cast plaster,D1A, Medical/surgical supplies
Q4002,"Cast supplies, body cast adult, with or without head, fiberglass",Cast sup body cast fiberglas,D1A, Medical/surgical supplies
Q4003,"Cast supplies, shoulder cast, adult (11 years +), plaster",Cast sup shoulder cast plstr,D1A, Medical/surgical supplies
Q4004,"Cast supplies, shoulder cast, adult (11 years +), fiberglass",Cast sup shoulder cast fbrgl,D1A, Medical/surgical supplies
Q4005,"Cast supplies, long arm cast, adult (11 years +), plaster",Cast sup long arm adult plst,D1A, Medical/surgical supplies
Q4006,"Cast supplies, long arm cast, adult (11 years +), fiberglass",Cast sup long arm adult fbrg,D1A, Medical/surgical supplies
Q4007,"Cast supplies, long arm cast, pediatric (0-10 years), plaster",Cast sup long arm ped plster,D1A, Medical/surgical supplies
Q4008,"Cast supplies, long arm cast, pediatric (0-10 years), fiberglass",Cast sup long arm ped fbrgls,D1A, Medical/surgical supplies
Q4009,"Cast supplies, short arm cast, adult (11 years +), plaster",Cast sup sht arm adult plstr,D1A, Medical/surgical supplies
Q4010,"Cast supplies, short arm cast, adult (11 years +), fiberglass",Cast sup sht arm adult fbrgl,D1A, Medical/surgical supplies
Q4011,"Cast supplies, short arm cast, pediatric (0-10 years), plaster",Cast sup sht arm ped plaster,D1A, Medical/surgical supplies
Q4012,"Cast supplies, short arm cast, pediatric (0-10 years), fiberglass",Cast sup sht arm ped fbrglas,D1A, Medical/surgical supplies
Q4013,"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), plaster",Cast sup gauntlet plaster,D1A, Medical/surgical supplies
Q4014,"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), fiberglass",Cast sup gauntlet fiberglass,D1A, Medical/surgical supplies
Q4015,"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), plaster",Cast sup gauntlet ped plster,D1A, Medical/surgical supplies
Q4016,"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), fiberglass",Cast sup gauntlet ped fbrgls,D1A, Medical/surgical supplies
Q4017,"Cast supplies, long arm splint, adult (11 years +), plaster",Cast sup lng arm splint plst,D1A, Medical/surgical supplies
Q4018,"Cast supplies, long arm splint, adult (11 years +), fiberglass",Cast sup lng arm splint fbrg,D1A, Medical/surgical supplies
Q4019,"Cast supplies, long arm splint, pediatric (0-10 years), plaster",Cast sup lng arm splnt ped p,D1A, Medical/surgical supplies
Q4020,"Cast supplies, long arm splint, pediatric (0-10 years), fiberglass",Cast sup lng arm splnt ped f,D1A, Medical/surgical supplies
Q4021,"Cast supplies, short arm splint, adult (11 years +), plaster",Cast sup sht arm splint plst,D1A, Medical/surgical supplies
Q4022,"Cast supplies, short arm splint, adult (11 years +), fiberglass",Cast sup sht arm splint fbrg,D1A, Medical/surgical supplies
Q4023,"Cast supplies, short arm splint, pediatric (0-10 years), plaster",Cast sup sht arm splnt ped p,D1A, Medical/surgical supplies
Q4024,"Cast supplies, short arm splint, pediatric (0-10 years), fiberglass",Cast sup sht arm splnt ped f,D1A, Medical/surgical supplies
Q4025,"Cast supplies, hip spica (one or both legs), adult (11 years +), plaster",Cast sup hip spica plaster,D1A, Medical/surgical supplies
Q4026,"Cast supplies, hip spica (one or both legs), adult (11 years +), fiberglass",Cast sup hip spica fiberglas,D1A, Medical/surgical supplies
Q4027,"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), plaster",Cast sup hip spica ped plstr,D1A, Medical/surgical supplies
Q4028,"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), fiberglass",Cast sup hip spica ped fbrgl,D1A, Medical/surgical supplies
Q4029,"Cast supplies, long leg cast, adult (11 years +), plaster",Cast sup long leg plaster,D1A, Medical/surgical supplies
Q4030,"Cast supplies, long leg cast, adult (11 years +), fiberglass",Cast sup long leg fiberglass,D1A, Medical/surgical supplies
Q4031,"Cast supplies, long leg cast, pediatric (0-10 years), plaster",Cast sup lng leg ped plaster,D1A, Medical/surgical supplies
Q4032,"Cast supplies, long leg cast, pediatric (0-10 years), fiberglass",Cast sup lng leg ped fbrgls,D1A, Medical/surgical supplies
Q4033,"Cast supplies, long leg cylinder cast, adult (11 years +), plaster",Cast sup lng leg cylinder pl,D1A, Medical/surgical supplies
Q4034,"Cast supplies, long leg cylinder cast, adult (11 years +), fiberglass",Cast sup lng leg cylinder fb,D1A, Medical/surgical supplies
Q4035,"Cast supplies, long leg cylinder cast, pediatric (0-10 years), plaster",Cast sup lngleg cylndr ped p,D1A, Medical/surgical supplies
Q4036,"Cast supplies, long leg cylinder cast, pediatric (0-10 years), fiberglass",Cast sup lngleg cylndr ped f,D1A, Medical/surgical supplies
Q4037,"Cast supplies, short leg cast, adult (11 years +), plaster",Cast sup shrt leg plaster,D1A, Medical/surgical supplies
Q4038,"Cast supplies, short leg cast, adult (11 years +), fiberglass",Cast sup shrt leg fiberglass,D1A, Medical/surgical supplies
Q4039,"Cast supplies, short leg cast, pediatric (0-10 years), plaster",Cast sup shrt leg ped plster,D1A, Medical/surgical supplies
Q4040,"Cast supplies, short leg cast, pediatric (0-10 years), fiberglass",Cast sup shrt leg ped fbrgls,D1A, Medical/surgical supplies
Q4041,"Cast supplies, long leg splint, adult (11 years +), plaster",Cast sup lng leg splnt plstr,D1A, Medical/surgical supplies
Q4042,"Cast supplies, long leg splint, adult (11 years +), fiberglass",Cast sup lng leg splnt fbrgl,D1A, Medical/surgical supplies
Q4043,"Cast supplies, long leg splint, pediatric (0-10 years), plaster",Cast sup lng leg splnt ped p,D1A, Medical/surgical supplies
Q4044,"Cast supplies, long leg splint, pediatric (0-10 years), fiberglass",Cast sup lng leg splnt ped f,D1A, Medical/surgical supplies
Q4045,"Cast supplies, short leg splint, adult (11 years +), plaster",Cast sup sht leg splnt plstr,D1A, Medical/surgical supplies
Q4046,"Cast supplies, short leg splint, adult (11 years +), fiberglass",Cast sup sht leg splnt fbrgl,D1A, Medical/surgical supplies
Q4047,"Cast supplies, short leg splint, pediatric (0-10 years), plaster",Cast sup sht leg splnt ped p,D1A, Medical/surgical supplies
Q4048,"Cast supplies, short leg splint, pediatric (0-10 years), fiberglass",Cast sup sht leg splnt ped f,D1A, Medical/surgical supplies
Q4049,"Finger splint, static","Finger splint, static",D1A, Medical/surgical supplies
Q4050,"Cast supplies, for unlisted types and materials of casts",Cast supplies unlisted,D1A, Medical/surgical supplies
Q4051,"Splint supplies, miscellaneous (includes thermoplastics, strapping, fasteners, padding and other supplies)",Splint supplies misc,D1A, Medical/surgical supplies
Q4074,"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 20 micrograms",Iloprost non-comp unit dose,D1G, Drugs Administered through DME
Q4081,"Injection, epoetin alfa, 100 units (for esrd on dialysis)","Epoetin alfa, 100 units esrd",O1E, Other drugs
Q4082,"Drug or biological, not otherwise classified, part b drug competitive acquisition program (cap)",Drug/bio noc part b drug cap,D1E, Other DME
Q4100,"Skin substitute, not otherwise specified","Skin substitute, nos",O1E, Other drugs
Q4101,"Apligraf, per square centimeter",Apligraf,O1E, Other drugs
Q4102,"Oasis wound matrix, per square centimeter",Oasis wound matrix,O1E, Other drugs
Q4103,"Oasis burn matrix, per square centimeter",Oasis burn matrix,O1E, Other drugs
Q4104,"Integra bilayer matrix wound dressing (bmwd), per square centimeter",Integra bmwd,O1E, Other drugs
Q4105,"Integra dermal regeneration template (drt) or integra omnigraft dermal regeneration matrix, per square centimeter",Integra drt or omnigraft,O1E, Other drugs
Q4106,"Dermagraft, per square centimeter",Dermagraft,O1E, Other drugs
Q4107,"Graftjacket, per square centimeter",Graftjacket,O1E, Other drugs
Q4108,"Integra matrix, per square centimeter",Integra matrix,O1E, Other drugs
Q4110,"Primatrix, per square centimeter",Primatrix,O1E, Other drugs
Q4111,"Gammagraft, per square centimeter",Gammagraft,O1E, Other drugs
Q4112,"Cymetra, injectable, 1 cc",Cymetra injectable,O1E, Other drugs
Q4113,"Graftjacket xpress, injectable, 1 cc",Graftjacket xpress,O1E, Other drugs
Q4114,"Integra flowable wound matrix, injectable, 1 cc",Integra flowable wound matri,O1E, Other drugs
Q4115,"Alloskin, per square centimeter",Alloskin,O1E, Other drugs
Q4116,"Alloderm, per square centimeter",Alloderm,O1E, Other drugs
Q4117,"Hyalomatrix, per square centimeter",Hyalomatrix,O1E, Other drugs
Q4118,"Matristem micromatrix, 1 mg",Matristem micromatrix,O1E, Other drugs
Q4119,"Matristem wound matrix, per square centimeter",Matristem wound matrix,O1E, Other drugs
Q4120,"Matristem burn matrix, per square centimeter",Matristem burn matrix,O1E, Other drugs
Q4121,"Theraskin, per square centimeter",Theraskin,O1E, Other drugs
Q4122,"Dermacell, dermacell awm or dermacell awm porous, per square centimeter","Dermacell, awm, porous sq cm",O1E, Other drugs
Q4123,"Alloskin rt, per square centimeter",Alloskin,O1E, Other drugs
